chat_id,title,username,type,role,members_count
-1003171587537,INDIA JOB ALART,Indiajobsalart,CHANNEL,OWNER (Creator),2
-1002169567358,Best Developers | Tech Community,bestdevlopers,SUPERGROUP,ADMINISTRATOR,70
-1003608625421,KBpay-印度二类-6086333,,SUPERGROUP,ADMINISTRATOR,10
-1002718748864,Source code + api discussion 🔎,sourcecode_market,SUPERGROUP,ADMINISTRATOR,337
-1002358802981,BCITS,bcits,SUPERGROUP,OWNER (Creator),2
-1001913151992,Web development or Gateway Integration,gatewaydeveloper,CHANNEL,ADMINISTRATOR,470
-1003608625421,KBpay-印度二类-6086333,,SUPERGROUP,ADMINISTRATOR,10
-1003171587537,INDIA JOB ALART,Indiajobsalart,CHANNEL,OWNER (Creator),2
-1003905943022,MSG MONEY,MsgMoneyOfficial,CHANNEL,OWNER (Creator),15
-1001402420882,BEST PLANS ONLY 🤑,newappsv,SUPERGROUP,ADMINISTRATOR,530
-1002347957205,TempOtpSms – Virtual SMS,tempotpsms,CHANNEL,ADMINISTRATOR,1464
-4666757677,kbpay India II 6106111,,GROUP,ADMINISTRATOR,4
-4762983685,Anshu印度二类 100333101 对接群,,GROUP,ADMINISTRATOR,11
-1002428288710,backup project,,CHANNEL,ADMINISTRATOR,3
-1003299820075,Govt Naukri,,CHANNEL,OWNER (Creator),1
-1002262894369,1004号kasipay印度一类7+3+6,,SUPERGROUP,ADMINISTRATOR,7
-1002209701974,Crypto Buy/Sell,CryptoExPro,SUPERGROUP,OWNER (Creator),9
