chat_id,title,username,reason,blacklisted_at
-1003608625421,KBpay-印度二类-6086333,,RPC_ERROR: The channel/supergroup is not accessible,2026-08-03 08:30:53
-1001913151992,Web development or Gateway Integration,gatewaydeveloper,POST_DELETED_BY_BOT_OR_ADMIN,2026-08-03 08:30:57
-4762983685,Anshu印度二类 100333101 对接群,,POST_DELETED_BY_BOT_OR_ADMIN,2026-08-03 08:31:01
-1002262894369,1004号kasipay印度一类7+3+6,,POST_DELETED_BY_BOT_OR_ADMIN,2026-08-03 08:31:05
-1002209701974,Crypto Buy/Sell,CryptoExPro,POST_DELETED_BY_BOT_OR_ADMIN,2026-08-03 08:31:06
-1001405686677,太阳城集团🇲🇴 六合彩内幕大群,,RPC_ERROR: The channel/supergroup is not accessible,2026-08-03 08:31:13
-1002017409097,威尼斯综合🇲🇴六合内幕大群🇲🇴,,POST_DELETED_BY_BOT_OR_ADMIN,2026-08-03 08:31:14
-1001901868692,🐺 银河娱乐城 不限IP - 六合内幕交流 🐺签到抽红包🐺,,RPC_ERROR: The channel/supergroup is not accessible,2026-08-03 08:31:16
-1001335073049,️星际️六合彩交流大群☄️,,RPC_ERROR: The channel/supergroup is not accessible,2026-08-03 08:31:19
-1003978685780,𝗛𝗔𝗠𝗭𝗔 𝗘𝗦𝗖𝗥𝗢𝗪 𝗦𝗘𝗥𝗩𝗜𝗖𝗘,,POST_DELETED_BY_BOT_OR_ADMIN,2026-08-03 08:31:22
-1003675147357,Lppay 印度二类 M1771066730 8+3+6,,POST_DELETED_BY_BOT_OR_ADMIN,2026-08-03 08:31:31
-1002007855302,FREE AND COLLEGE OFFICIAL,freeandcollegeofficial,POST_DELETED_BY_BOT_OR_ADMIN,2026-08-03 08:31:34
-1002355783658,DEVELOPER AND CLIENTS,,POST_DELETED_BY_BOT_OR_ADMIN,2026-08-03 08:31:41
-1001824975087,🔰Long Term Work♻️,ViralEarner,POST_DELETED_BY_BOT_OR_ADMIN,2026-08-03 08:31:47
-1002820597471,| Chat 💬 | Code 💻 | Help 🤝 |,gamexcodes,POST_DELETED_BY_BOT_OR_ADMIN,2026-08-03 08:31:48
-1001596786942,Web Developers Community & Projects,webdevelopersz,RPC_ERROR: The channel/supergroup is not accessible,2026-08-03 08:31:51
-1002186931940,Rspay INR MXPAY二类 7+3+6,,POST_DELETED_BY_BOT_OR_ADMIN,2026-08-03 08:31:54
-1001423456877,KBPAY出海全球支付资源交流群,Fage18888888,RPC_ERROR: The channel/supergroup is not accessible,2026-08-03 08:31:56
-4999584417,🇮🇳 GalePay-印度1类-唤醒-anusoni1024-4.5%/3+6-1764084145,,POST_DELETED_BY_BOT_OR_ADMIN,2026-08-03 08:32:03
-4631745156,LPay 767 印度二类 7.5/3+6,,POST_DELETED_BY_BOT_OR_ADMIN,2026-08-03 08:32:04
-1004469355577,MX M777037 印度二类ZJP 7+3+6,,POST_DELETED_BY_BOT_OR_ADMIN,2026-08-03 08:32:06
-1002262691914,Lpay 511,,POST_DELETED_BY_BOT_OR_ADMIN,2026-08-03 08:32:07
-4147369760,100618208-allpay,,POST_DELETED_BY_BOT_OR_ADMIN,2026-08-03 08:32:09
-4666757677,kbpay India II 6106111,,POST_DELETED_BY_BOT_OR_ADMIN,2026-08-03 08:32:11
-5295612000,India-watchpay 100888 146,,POST_DELETED_BY_BOT_OR_ADMIN,2026-08-03 08:32:12
-5044682983,8801 印度二类0.0,,POST_DELETED_BY_BOT_OR_ADMIN,2026-08-03 08:32:13
-4608754001,HX+7.5+3/6（hx666）zjp,,POST_DELETED_BY_BOT_OR_ADMIN,2026-08-03 08:32:16
-4538307271,A3印度线上2类6-3,,POST_DELETED_BY_BOT_OR_ADMIN,2026-08-03 08:32:20
-1002391609895,dz66dz66 支付寶 I,,POST_DELETED_BY_BOT_OR_ADMIN,2026-08-03 08:32:21
-1002182128319,THE GALAXY WORLD 🌐,The_Galaxy_World,POST_DELETED_BY_BOT_OR_ADMIN,2026-08-04 22:22:59
-1002718748864,Source code + api discussion 🔎,sourcecode_market,POST_DELETED_BY_BOT_OR_ADMIN,2026-08-04 22:23:03
-1002085891257,Free And College Escrow,freeandcollegeproescrow,POST_DELETED_BY_BOT_OR_ADMIN,2026-08-04 22:23:36
-1001798169636,🥇🔥Build Your Own Application🥇🔥,winwinvipuser,POST_DELETED_BY_BOT_OR_ADMIN,2026-08-04 22:23:49
-5161562458,Target Chat,,POST_DELETED_BY_BOT_OR_ADMIN,2026-08-04 22:23:50
-1001567990648,巴西❇️印度❇️印尼❇️越南❇️泰国海外资源 [-1001567990648],,AUTO_BLACKLIST: ValueError (invalid literal for int() with base 10: '[403 CHAT_SEND_PHOTOS_FORBIDDEN]'),2026-08-05 10:57:35
-1001935147490,巴西❇️印度❇️尼日❇️哥伦海外支付通道 [-1001935147490],,AUTO_BLACKLIST: ValueError (invalid literal for int() with base 10: '[403 CHAT_SEND_PHOTOS_FORBIDDEN]'),2026-08-05 10:57:56
-1003099555550,MagicPay Indian Payment Expert Chat [-1003099555550],,AUTO_BLACKLIST: ValueError (invalid literal for int() with base 10: '[403 CHAT_SEND_PHOTOS_FORBIDDEN]'),2026-08-05 10:58:28
-1001779305048,Huidu.io灰度出海遊戲項目交流社區【No.com冠名】 [-1001779305048],,AUTO_BLACKLIST: ValueError (invalid literal for int() with base 10: '[403 CHAT_SEND_PHOTOS_FORBIDDEN]'),2026-08-05 10:58:45
-1001969299766,Tech Vishal Boss [-1001969299766],,AUTO_BLACKLIST: ValueError (invalid literal for int() with base 10: '[403 CHAT_SEND_PHOTOS_FORBIDDEN]'),2026-08-05 10:59:02
-1003371199112,Blackhat Seo World [-1003371199112],,AUTO_BLACKLIST: ValueError (invalid literal for int() with base 10: '[403 CHAT_SEND_PHOTOS_FORBIDDEN]'),2026-08-05 11:00:26
-1003757614320,LORD PAY OFFICIAL [-1003757614320],,AUTO_BLACKLIST: ValueError (invalid literal for int() with base 10: '[403 CHAT_SEND_PHOTOS_FORBIDDEN]'),2026-08-05 11:00:35
