chat_id,title,username,type,members_count,can_send_messages
-1002169567358,Best Developers | Tech Community,bestdevlopers,SUPERGROUP,70,True
-1003608625421,KBpay-印度二类-6086333,,SUPERGROUP,10,True
-1001919574409,全球支付 交流2群,sunpay22222222,SUPERGROUP,3782,True
-1001567990648,巴西❇️印度❇️印尼❇️越南❇️泰国海外资源,Sunpay_001,SUPERGROUP,4718,True
-1002168577283,CXPAY-印度支付-资源交流群,Cxpay888888,SUPERGROUP,2430,True
-1001935147490,巴西❇️印度❇️尼日❇️哥伦海外支付通道,sunpayhrj90321,SUPERGROUP,3657,True
-1002621027996,Funpay Account information Chat,FunAccounts0,SUPERGROUP,1395,True
-1001405686677,太阳城集团🇲🇴 六合彩内幕大群,,SUPERGROUP,153027,True
-1002017409097,威尼斯综合🇲🇴六合内幕大群🇲🇴,,SUPERGROUP,155896,True
-1002459869994,GDSPAY🇮🇳 India bank account,gdspay_group,SUPERGROUP,5933,True
-1001901868692,🐺 银河娱乐城 不限IP - 六合内幕交流 🐺签到抽红包🐺,,SUPERGROUP,66935,True
-1001966205131,尼日利亚支付 菲律宾支付 巴西支付 印度支付 印尼支付 马来西亚支付 越南支付 泰国支付 菲律宾支付 哥伦比亚支付 土耳其支付 墨西哥支付 南非支付 埃及支付 孟加拉支付...（线上api线下卡接）,pya028,SUPERGROUP,773,True
-1003099555550,MagicPay Indian Payment Expert Chat,GNSpay_8888,SUPERGROUP,4449,True
-1001335073049,️星际️六合彩交流大群☄️,,SUPERGROUP,111382,True
-1002526240133,SMS BULK SPAM💵,bulksmsbulksmsH,SUPERGROUP,2906,True
-1001779305048,Huidu.io灰度出海遊戲項目交流社區【No.com冠名】,huidu_SQ,SUPERGROUP,101479,True
-1003978685780,𝗛𝗔𝗠𝗭𝗔 𝗘𝗦𝗖𝗥𝗢𝗪 𝗦𝗘𝗥𝗩𝗜𝗖𝗘,,SUPERGROUP,478,True
-1001744363590,BondPay Ecosystem - English,BondPayChat,SUPERGROUP,244,True
-1002182128319,THE GALAXY WORLD 🌐,The_Galaxy_World,SUPERGROUP,654,True
-1001969299766,Tech Vishal Boss,trickyvishalgroup,SUPERGROUP,870,True
-1002141734793,ALLPAY 印度支付 官方群,allpay669sGFPDQ,SUPERGROUP,58,True
-1002718748864,Source code + api discussion 🔎,sourcecode_market,SUPERGROUP,337,True
-1001158814587,Freelance Web Developers,freelance_webdevelopers,SUPERGROUP,312,True
-1003540395765,Omni Website Developer,omnideveloper,SUPERGROUP,176,True
-1001650759741,watchpay 海外支付官方总群,watchpayhaiwaizhifuzongqun,SUPERGROUP,1503,True
-1003894216396,MONSTER DEVELOPER,mcdevcode,SUPERGROUP,148,True
-1001551574989,Team Tech Man,teamtechman,SUPERGROUP,501,True
-1003675147357,Lppay 印度二类 M1771066730 8+3+6,,SUPERGROUP,26,True
-1003371199112,Blackhat Seo World,blackhatworldseo,SUPERGROUP,313,True
-1003757614320,LORD PAY OFFICIAL,OFFICIALLORDPAY,SUPERGROUP,154,True
-1001091886291,【官方】币安总矿池官方社区🇨🇳,,SUPERGROUP,4364,True
-1002007855302,FREE AND COLLEGE OFFICIAL,freeandcollegeofficial,SUPERGROUP,1274,True
-1001462736986,💻 DevSecure 💰,devsecureofficial,SUPERGROUP,10825,True
-1002113598252,Source code + Api discussion 👨‍💻,tssourcecode,SUPERGROUP,115,True
-1003811000250,Yunpay,yunpaygateway,SUPERGROUP,121,True
-1001884216471,Free Source Code,Free_Source_Code1,SUPERGROUP,446,True
-1003686672305,PrimexHost ☁️,PrimexHostGroup,SUPERGROUP,46,True
-1002700236283,Vikas_Developer_Chat,developervikas0,SUPERGROUP,58,True
-1002355783658,DEVELOPER AND CLIENTS,,SUPERGROUP,352,True
-1003909503502,VOIP ROUTES | DID NUMBERS | SIP TRUNKS,VoIPRouteSIPTrunks,SUPERGROUP,764,True
-1003265217895,MOLLPAY,zoxpay01,SUPERGROUP,161,True
-1002158167541,Free website script,Free1script,SUPERGROUP,147,True
-1003425347032,Devloper ! help ! group §,devlpii,SUPERGROUP,39,True
-1002074810973,BestPay one,BestPay1101,SUPERGROUP,272,True
-1003344272514,All gaming Free Source code 🥳,freesourcecode3,SUPERGROUP,149,True
-1001824975087,🔰Long Term Work♻️,ViralEarner,SUPERGROUP,34,True
-1002820597471,| Chat 💬 | Code 💻 | Help 🤝 |,gamexcodes,SUPERGROUP,209,True
-1002541679614,Developer market,devlopermarket,SUPERGROUP,118,True
-1001596786942,Web Developers Community & Projects,webdevelopersz,SUPERGROUP,108,True
-1002605217028,Lovable Indonesia,lovabledev,SUPERGROUP,1140,True
-1002085891257,Free And College Escrow,freeandcollegeproescrow,SUPERGROUP,276,True
-1002186931940,Rspay INR MXPAY二类 7+3+6,,SUPERGROUP,12,True
-1002880243706,SyntaxOps,SyntaxOps,SUPERGROUP,519,True
-1001423456877,KBPAY出海全球支付资源交流群,Fage18888888,SUPERGROUP,386,True
-1003608625421,KBpay-印度二类-6086333,,SUPERGROUP,10,True
-1002310818210,HACKING EXPART,deepanshu9627,SUPERGROUP,140,True
-1002621486127,ZipPay,,SUPERGROUP,200,True
-1001728206065,Free Airdrop's,Metaverious,SUPERGROUP,554,True
-1002858027232,Patwar 2025 Result,Patwari2025,SUPERGROUP,194,True
-1001965301274,JOYSERVICES CHAT,joyservicesgroup,SUPERGROUP,67,True
-1001645915113,INDIAN Escrow Service [INR/USDT],saimpayout,SUPERGROUP,183,True
-4999584417,🇮🇳 GalePay-印度1类-唤醒-anusoni1024-4.5%/3+6-1764084145,,GROUP,6,True
